word	ANEW #	fem_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
avenue	646	   	2.03	1.4056	1.09	0.3377	1.17	0.4671	1.23	0.5878	1.11	0.3244	43
awed	30	H  	3.43	1.3513	1.15	0.6252	1.4	0.8172	1.29	1.0768	1.29	0.8754	43
baby	31	H  	4.61	0.8293	1.24	0.5823	1.33	0.8958	1.91	1.1359	1.24	0.7148	41
bake	647	H  	3.5	1.4245	1.33	0.6851	1.27	0.528	1.27	0.4741	1.17	0.4366	38
bandage	648	   	1.53	0.7965	1.5	0.9165	2.27	1.2715	2.23	1.3174	1.97	1.1965	38
bankrupt	32	   	1.12	0.5273	3	1.3593	3.12	1.3512	3.3	1.4738	1.61	1.2228	41
banner	649	   	2.26	1.5261	1.21	0.9422	1.24	0.9455	1.24	0.9969	1.36	0.9741	41
bar	650	*	3.16	1.4613	1.7	1.177	1.73	1.1078	1.88	1.1253	1.65	1.1767	46
barrel	651	   	1.43	0.8771	1.23	0.7259	1.23	0.695	1.49	1.0866	1.17	0.529	46
basket	547	   	2.14	1.3492	1.11	0.4788	1.2	0.5745	1.11	0.4981	1.09	0.4575	43
bastard	33	A*	1.03	0.4734	4.03	0.9104	2.7	1.3907	1.94	1.248	2.67	1.357	44
bath	502	H  	4.39	1.0248	1.06	0.362	1.15	0.6933	1.16	0.4789	1.21	0.6237	44
bathroom	548	   	1.77	1.1073	1.47	0.8194	1.3	0.6339	1.63	0.9795	2.83	1.4597	38
bathtub	652	*	2.74	1.5409	1.2	0.4946	1.4	0.7748	1.4	0.7081	1.47	0.9165	38
beach	34	H  	4.85	0.4882	1.15	0.4621	1.08	0.8234	1.27	0.7499	1.15	0.3471	44
beast	653	   	1.17	0.6646	2.23	1.3726	1.9	1.1277	3.37	1.2967	2.3	1.3443	38
beautiful	654	H  	4.63	0.7523	1.26	0.5145	1.34	0.6909	1.34	0.6738	1.26	0.5999	43
beauty	35	H  	4.53	0.9185	1.6	0.8668	1.5	0.8774	1.67	1.0274	1.33	0.9788	35
bed	549	H  	4.52	0.876	1.09	0.6203	1.52	1.244	1.12	0.8053	1	0.6321	44
bees	583	   	1.66	1.2058	2.11	1.3793	1.6	0.7676	3.26	1.4406	1.83	1.2168	43
beggar	36	*	1.06	0.4526	2.15	1.2475	3.67	1.1722	2.58	1.4282	2.58	1.4262	38
bench	655	   	1.64	1.0506	1.45	0.9165	1.27	0.6011	1.15	0.414	1.18	0.4946	38
bereavement	656	   	1.5	0.7196	1.74	0.7427	2.35	1.1337	1.75	0.8535	1.41	0.7167	41
betray	37	   	1.06	0.305	4.37	0.8767	3.89	1.0799	3.37	1.3853	3.89	1.2901	43
