word	ANEW #	fem_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
diploma	119	H  	4.27	1.258	1.16	0.6645	1.37	1.0012	1.57	1.0454	1.13	0.6488	38
dirt	725	   	1.36	0.8055	1.61	1.3325	1.52	1.0977	1.55	1.0517	2.76	1.3136	41
dirty	590	D*	1.3	0.7101	2.47	1.3799	2.1	1.2113	2.23	1.4302	3.9	1.3272	35
disappoint	120	   	1.18	0.916	2.7	1.2297	3.42	1.3425	2.39	1.361	1.79	1.2228	41
disaster	121	*	1.03	0.169	3.27	1.2387	4.27	0.942	3.9	1.3093	2.43	1.336	35
discomfort	726	   	1	0	2.74	1.311	2.97	1.3973	2.63	1.3721	1.86	1.2689	43
discouraged	122	   	1.07	0.3381	2.93	1.2945	3.63	1.1167	2.77	1.2912	1.9	1.0792	35
disdainful	123	   	1.32	0.7556	2.28	1.1413	2.45	1.2305	2.01	1.1221	2.1	1.2546	43
disgusted	124	D  	1.09	0.6313	2.56	1.4759	2.4	1.4246	2.29	1.4346	3.83	1.4606	46
disloyal	125	neg*	1.1	0.4867	3.8	1.2178	3.27	1.2823	2.87	1.4305	3.03	1.4404	38
displeased	126	   	1.04	0.1623	2.9	1.4403	3	1.1738	2.14	1.3107	2.17	1.4675	38
distressed	127	   	1.06	0.2107	2.58	1.0292	3.12	1.1119	2.45	1.4194	1.55	1.0165	44
disturb	727	A  	1.15	0.4748	3.12	1.1822	1.91	1.143	2	1.134	1.7	1.1038	38
diver	510	   	2.12	1.483	1.45	1.0011	1.48	1.0035	2.06	1.3713	1.42	1.0506	38
divorce	128	   	1.03	0.1622	3.63	1.2768	4.23	0.9036	3.47	1.5378	2.73	1.5041	38
doctor	129	   	3.09	1.5848	1.67	1.1437	1.73	1.0424	2.79	1.2355	1.42	0.7803	44
dog	511	H  	4.03	1.3819	1.32	0.8062	1.41	0.885	1.53	0.979	1.29	0.8209	46
doll	728	H*	3.37	1.3853	1.17	0.413	1.51	1.0055	1.34	0.8319	1.03	0.2131	43
dollar	729	H  	3.64	1.3646	1.09	0.7148	1	0.6247	1.12	0.807	1.33	1.043	41
door	130	   	1.7	1.0813	1.3	0.8161	1.27	0.8441	1.52	1.083	1.24	0.9934	44
dove	730	H  	3.6	1.4362	1.17	0.4748	1.43	0.7807	1.13	0.3883	1.13	0.3883	38
dreadful	131	   	1.23	0.8523	2.31	1.1859	3.2	1.128	3.34	1.2584	2.29	1.3945	43
dream	132	H  	4.27	1.0904	1.3	1.2016	1.58	1.3001	1.61	1.2639	1.21	1.1645	41
dreary	731	S  	1.23	0.8977	1.73	0.9134	3.53	1.2104	1.77	1.2034	1.43	0.8617	38
dress	133	H*	3.7	1.3443	1.24	0.542	1.15	0.4366	1.15	0.5287	1.12	0.414	38
drown	591	SF*	1.13	0.6761	2.7	1.3738	4.03	1.0977	4.4	1.073	1.93	1.3009	35
dummy	732	   	1.31	0.6884	1.91	1.1242	2.63	1.2778	1.63	1.1616	1.54	1.043	46
dump	733	neg*	1.09	0.2637	2.67	1.4596	3.21	1.3334	2.33	1.2798	2.91	1.6417	41
dustpan	555	   	1.23	0.622	1.17	0.414	1.13	0.3883	1.17	0.5626	2	1.0892	38
earth	134	H  	3.67	1.0006	1.61	0.9684	1.7	1.1359	1.79	1.2031	1.73	1.1535	41
easy	734	H  	4	1.347	1.18	0.4001	1.26	0.5812	1.21	0.6427	1.12	0.463	46
easygoing	135	H  	4.03	1.1664	1.13	0.3883	1.13	0.414	1.1	0.3588	1.1	0.3588	38
eat	136	H  	3.8	1.3008	1.97	1.3713	1.83	1.362	2.03	1.3793	1.66	1.3497	43
ecstasy	735	H  	4.21	1.1812	1.36	1.003	1.24	0.9455	1.45	1.2092	1.39	1.0735	41
education	137	H  	4	0.9693	1.45	0.9211	1.33	0.8353	1.45	0.8913	1.3	0.8601	38
egg	736	   	1.85	1.2352	1.09	0.3745	1.15	0.458	1.18	0.422	1.39	0.8674	41
elated	138	H  	3.9	1.3502	1.22	0.4512	1.26	0.5278	1.22	0.4688	1.22	0.4497	35
elbow	737	   	1.49	1.0698	1.14	0.5951	1.26	0.7359	1.29	0.7129	1.31	0.7502	46
elegant	139	H  	3.85	1.1703	1.03	0.1562	1.09	0.2637	1.03	0.1562	1.09	0.3457	41
elevator	738	   	1.67	1.0277	1.27	0.5769	1.23	0.6087	1.83	1.0617	1.2	0.5123	38
embarrassed	140	   	1.15	0.3868	2.42	1.1875	3.03	1.0987	3.24	1.2252	1.82	1.1493	44
embattled	141	   	1.33	0.6139	2.15	0.9872	2.14	0.9216	2.62	1.1129	1.67	0.7555	41
employment	147	H*	3.61	1.2996	2.06	1.3416	1.85	1.1661	2.18	1.2654	1.64	1.2371	41
engaged	143	H  	4.57	0.884	1.43	0.9456	1.37	0.6508	2.53	1.3584	1.23	0.6108	35
engine	148	   	1.45	1.1428	1.24	0.7498	1.09	0.4775	1.33	0.7498	1.27	0.8439	41
enjoyment	145	H  	4.71	0.6279	1.03	0.1474	1.09	0.3267	1.06	0.2496	1.03	0.2062	46
ennui	146	   	1.27	0.5826	1.37	0.6909	1.24	0.5208	1.33	0.6428	1.27	0.5681	46
enraged	149	A  	1	0	4.33	1.2492	2.3	1.2945	2.61	1.5965	2.03	1.4403	41
erotic	512	H  	3.52	1.2474	1.36	0.687	1.15	0.4951	1.36	0.6561	1.73	0.9113	41
errand	150	   	1.78	1.062	1.6	0.889	1.25	0.5814	1.22	0.6119	1.37	0.7921	41
event	740	   	2.55	1.3736	1.33	0.7929	1.39	1.0332	1.27	0.7081	1.18	0.4946	38
evil	741	*	1	0.1622	3.97	1.1966	3.11	1.2871	4.18	1.0102	2.94	1.6071	38
excellence	151	H  	4.64	0.6547	1.06	0.2908	1.12	0.3471	1.21	0.8832	1.18	0.4283	44
excitement	152	H  	4.6	0.9727	1.27	0.6572	1.17	0.43	1.4	1.0387	1.23	0.7195	35
excuse	153	   	1.6	1.0072	2.31	1.3402	1.49	0.9587	1.46	1.0268	1.97	1.185	43
execution	154	neg*	1.11	0.5898	3.6	1.5598	3.89	1.3064	3.6	1.5051	3.51	1.5735	46
exercise	155	H  	3.54	1.5017	1.51	0.977	1.49	0.8871	1.69	1.0886	1.31	0.9346	46
fabric	742	   	2.29	1.3063	1.17	0.413	1.26	0.5588	1.14	0.4477	1.23	0.5458	43
face	556	   	3.12	1.4487	1.85	1.4306	1.97	1.5241	1.91	1.4298	1.82	1.3157	44
failure	156	   	1.21	0.7036	3.79	1.2122	4.21	0.9338	3.91	1.1487	2.97	1.5409	41
fall	743	   	2.58	1.7352	1.52	1.1175	1.52	0.7457	1.7	1.2654	1.12	0.8138	41
false .	744	   	1.1	0.8657	2.48	1.2833	2.07	1.2119	1.86	1.22	1.38	0.8729	44
fame	157	H  	3.61	1.3483	1.21	0.7318	1.12	0.6339	1.33	0.7929	1.24	0.6011	38
family	158	H  	4.67	0.6619	1.37	1.0843	1.43	1.0277	1.17	0.8089	1.03	0.3588	38
famous	745	H  	3.3	1.4082	1.3	0.8194	1.21	0.6445	1.15	0.5123	1.33	0.6747	38
fantasy	746	H  	4.14	1.3194	1.06	0.6521	1.46	0.7314	1.23	0.6296	1.2	0.8192	43
farm	557	   	2.3	1.2297	1.36	0.7225	1.36	0.859	1.36	0.9519	1.64	1.1294	41
fascinate	159	H  	3.48	1.1455	1.39	0.8876	1.33	0.6798	1.42	0.8403	1.27	0.6237	41
fat	160	   	1.33	0.8289	2.42	1.4458	3.48	1.248	3.09	1.4178	3.48	1.2717	44
father 	161	H  	3.71	1.5335	1.6	1.0761	1.86	1.4292	1.37	1.0895	1.2	0.9631	46
fatigued	162	   	1.3	0.794	1.64	0.9383	2.24	1.0843	1.36	0.6099	1.52	0.9759	41
fault	747	   	1.2	0.5314	2.63	1.1617	2.24	1.1605	2.47	1.3793	1.7	1.0667	35
favor	748	H  	3.23	1.4484	1.21	0.638	1.06	0.2949	1.18	0.6532	1.21	0.6653	46
fear	592	F  	1	0.4124	2.37	1.3005	2.54	1.2449	4.16	1.2338	1.86	1.219	46
fearful	163	F  	1.18	0.6789	2.15	1.2233	2.45	1.3612	4.24	1.1689	1.85	1.2271	38
feeble	164	   	1.67	1.0773	1.65	0.9386	1.82	1.0116	1.56	1.036	1.37	0.9042	46
festive	749	H  	4.36	1.0395	1.27	0.8497	1.27	0.8497	1.27	0.8497	1.21	0.7342	41
fever	750	   	1.06	0.3457	1.91	1.1402	2.55	1.1191	2.15	1.1878	1.61	1.1229	41
field	558	   	2.24	1.3642	1.12	0.7587	1.15	0.7675	1.3	0.833	1.12	0.4362	41
fight	751	   	1.36	1.1302	3.82	1.3184	3.12	1.3713	3.36	1.3281	2.45	1.4985	38
filth	165	D  	1.07	0.2355	2.73	1.4366	2.57	1.2217	2.33	1.2319	4.59	0.8826	35
finger	752	   	1.67	1.1294	1.39	0.8625	1.24	0.6129	1.21	0.6896	1.33	0.7225	41
fire	166	   	1.37	0.6311	2.53	1.1464	3.13	1.3584	3.8	1.1718	1.93	1.1668	35
fireworks	513	H  	3.73	1.2047	1.21	0.5875	1.12	0.4362	1.94	1.1294	1.12	0.5273	41
fish	559	   	2.4	1.6145	1.17	0.5565	1.37	0.7563	1.49	0.9126	1.79	1.0414	46
flabby	167	   	1.15	0.6943	1.7	1.0251	2.36	1.3382	2.45	1.3552	3.58	1.3863	44
flag	753	H  	3.1	1.4506	1.4	0.7356	1.57	1.1137	1.33	0.8812	1.17	0.4937	35
flirt	754	H  	3.64	1.1624	1.36	0.8937	1.09	0.3313	1.21	0.5488	1.48	1.0949	41
flood	755	   	1.2	0.5137	2.5	1.2919	3.87	0.9848	3.57	1.308	2.2	1.416	35
flower	168	H  	3.97	1.322	1.18	0.8374	1.18	0.9012	1.15	0.7148	1.12	0.6914	41
foam	756	   	1.91	1.2411	1.12	0.5097	1.15	0.5097	1.3	0.6993	1.58	1.0024	41
food	514	H  	3.79	1.2945	1.3	1.0517	1.09	0.5577	1.15	0.7157	1.36	0.9778	41
foot	757	   	1.73	0.9012	1.36	0.8024	1.33	0.794	1.39	0.8092	2.64	1.4671	41
fork	560	   	1.69	0.9086	1.29	0.6623	1.23	0.6294	1.57	0.9601	1.26	0.7359	46
foul	169	   	1.23	0.7195	2.67	1.2312	1.83	1.0706	1.87	1.1632	3.6	1.4827	35
fragrance	170	H  	4.15	1.1972	1.12	0.4621	1.27	0.8337	1.03	0.1508	1.85	1.206	44
fraud	171	neg*	1.12	0.3997	2.94	1.1577	2.24	1.0865	2.36	1.2223	2.55	1.436	41
free	172	H  	4.43	0.8297	1.13	0.3883	1.27	0.5897	1.37	0.8194	1.07	0.3244	38
freedom	173	H  	4.76	0.4882	1.09	0.6317	1.09	0.8611	1.52	1.3167	1.03	0.5099	44
friend	174	H  	4.4	1.0698	1.46	0.9033	1.54	0.9829	1.46	0.9581	1.23	0.687	46
friendly	175	H  	4.67	0.5745	1.23	0.6087	1.13	0.3883	1.13	0.414	1.1	0.2733	38
frigid	758	   	1.27	0.7015	2.06	1.1577	2.12	1.0869	2.27	1.2363	1.91	1.2798	44
frog	176	   	2.03	1.2347	1.03	0.7036	1.12	0.7994	1.3	0.948	2.06	1.2547	41
frustrated	177	A  	1	0	3.87	0.9149	2.63	1.2967	2.53	1.2636	1.9	1.3557	38
fun	759	H  	4.61	0.8476	1.06	0.2062	1.09	0.3268	1.15	0.4	1.03	0.1475	46
funeral	178	S  	1.12	0.603	2.64	1.4118	4.7	0.7947	3.3	1.2836	1.64	1.1768	44
fungus	179	D  	1.11	0.5898	1.49	1.149	1.46	1.0904	1.74	1.4941	3.89	1.2689	46
fur	180	   	2.76	1.4531	1.67	1.2363	1.85	1.3295	1.27	0.9762	2.09	1.387	44
game	760	H  	3.6	1.3048	2.07	1.2919	1.63	0.9139	1.5	0.9194	1.17	0.43	35
gangrene	181	   	1	0.6247	1.86	1.4177	2.58	1.5105	3.17	1.6309	3.72	1.5875	41
garbage	182	D  	1.09	0.4867	1.88	1.234	1.52	0.9211	1.61	1.1563	3.88	1.2198	38
garden	761	H*	3.6	1.3712	1.17	0.6539	1.14	0.5565	1.17	0.4993	1.26	0.6189	46
garment	762	   	2.52	1.4326	1.39	0.7563	1.42	0.794	1.3	0.6237	1.39	0.7225	41
garter	534	*	2.94	1.5775	1.26	0.6376	1.12	0.4786	1.09	0.3906	1.2	0.6653	43
gender	763	   	2.9	1.4707	1.42	0.8812	1.33	0.7183	1.27	0.5606	1.43	0.9456	35
gentle	183	H  	4.4	0.7702	1.03	0.169	1.43	0.884	1.13	0.4038	1.1	0.284	35
germs	764	D*	1.12	0.7555	1.61	0.9479	1.82	0.9784	2.76	1.3094	4.15	1.1693	44
gift	184	H  	4.73	0.7702	1.2	0.7593	1.13	0.3824	1.33	0.7101	1.17	0.6011	35
girl	185	H  	3.55	1.3412	1.73	1.1054	1.69	1.1378	1.67	0.9902	1.64	1.0277	41
glacier	186	   	1.73	1.0574	1.27	0.7235	1.4	0.7857	2.23	1.2326	1.23	0.6087	38
glamour	187	H  	3.67	1.1278	1.15	0.5109	1.12	0.4417	1.18	0.4951	1.39	0.859	41
glass	765	   	2.13	1.2353	1.3	0.8075	1.37	0.9509	1.97	1.1242	1.23	0.6774	35
gloom	188	S  	1.09	0.4575	1.94	1.2245	3.43	1.3278	1.89	1.3452	1.71	1.0359	43
glory	189	H  	4.2	1.1855	1.23	0.7727	1.26	0.8912	1.29	0.8783	1.23	0.9158	46
god	190	H  	3.88	1.2625	1.18	0.8829	1.15	0.8146	1.64	1.1128	1.06	0.3244	38
gold	191	H  	3.66	1.1957	1.14	0.413	1.11	0.3909	1.03	0.1525	1.37	0.8319	43
golfer	535	H  	3.47	1.413	1.47	0.9194	1.37	0.7581	1.13	0.4038	1.33	0.8935	35
good	766	H  	4.3	0.948	1.18	0.5728	1.18	0.5875	1.24	0.7498	1.21	0.5875	41
gossip	767	   	1.49	0.8253	3.49	1.1417	2.77	1.4463	2.11	1.3857	2.97	1.6505	43
graduate	192	H  	4.28	1.0779	1.09	0.3781	2.11	1.3047	2.51	1.4183	1.06	0.3265	46
grass	768	H*	3	1.4293	1.18	0.638	1.12	0.5145	1.12	0.5693	1.12	0.437	46
grateful	193	H  	4.2	1.1859	1.17	0.5155	1.17	0.5878	1.03	0.1525	1.11	0.3661	43
greed	769	   	1.45	0.8893	3.33	1.3837	2.91	1.3546	2.15	1.4352	3.12	1.5058	38
green	194	H  	3.14	1.575	1.03	0.2131	1.17	0.5588	1.06	0.2131	1.09	0.4845	43
greet	770	H  	3.39	1.2864	1.24	0.6626	1.24	0.5823	1.3	0.5926	1.18	0.4775	41
grenade	771	   	1.11	0.4869	3.15	1.3033	3.03	1.3716	3.83	1.1271	2.49	1.4467	38
grief	195	S*	1	0	2.36	1.4194	4.39	0.8975	2.39	1.3677	1.27	0.9997	44
grime	772	D  	1.15	0.4748	2.09	1.2189	1.64	0.9737	2.12	1.3141	3.82	1.3788	38
grin	773	H  	4.4	0.7406	1.24	0.7225	1.18	0.6008	1.39	0.7986	1.12	0.3004	41
gripe	774	   	1.15	0.3876	2.69	1.3313	2.34	1.2888	1.89	1.1612	2.26	1.2907	38
guillotine	196	neg*	1.01	0.3055	2.83	1.4353	3.08	1.4594	3.13	1.4778	3.17	1.5854	43
guilty	197	neg*	1	0	2.77	1.398	3.23	1.364	2.87	1.4322	2.37	1.4656	38
gun	593	   	1.17	0.4748	3.3	1.3002	3.37	1.242	4.07	1.1277	2.6	1.4222	38
gymnast	515	   	2.83	1.6531	1.14	0.4998	1.23	0.5748	1.63	1.153	1.31	0.7793	46
habit	775	   	2.03	1.4035	1.8	1.2455	1.47	0.8501	1.5	1.0059	1.67	1.1903	35
hairdryer	561	   	2.09	1.2344	1.4	0.7283	1.14	0.4981	1.26	0.6208	1.03	0.1525	43
hairpin	776	   	1.73	0.8685	1.24	0.727	1.09	0.5258	1.12	0.5532	1.21	0.6317	44
hamburger	777	*	2.85	1.5732	1.21	0.6516	1.15	0.4366	1.21	0.6339	1.48	0.8605	38
hammer	198	   	1.15	0.422	1.82	1.1598	1.15	0.525	1.52	1.0482	1.16	0.5571	41
hand	778	   	1.61	1.26	1.18	0.6991	1.06	0.4581	1.18	0.5099	1.09	0.3998	41
handicap	779	   	1.17	0.5003	2.26	1.3961	3.69	1.2154	2.34	1.4838	1.23	0.5458	43
handsome	199	H  	4.63	0.8382	1.07	0.284	1.03	0.284	1.27	0.942	1.1	0.3735	35
haphazard	780	   	1.42	0.6321	2.21	1.217	1.83	0.9427	2.52	1.2606	2.04	1.1907	35
happy	200	H  	4.91	0.6672	1.06	0.3457	1.06	0.3123	1.06	0.3457	1.06	0.4362	41
hard	781	   	1.91	1.3319	2.11	1.4128	1.77	1.2793	2.34	1.545	1.56	1.0877	46
hardship	782	   	1.03	0.2107	2.64	1.2252	3.64	1.0515	2.82	1.3205	1.64	1.2363	44
hat	783	   	1.94	1.2143	1.18	0.4775	1.12	0.3997	1.18	0.4951	1.15	0.3997	41
hate	201	*	1.03	0.1622	4.17	1.011	3.73	1.3612	3.47	1.3891	3.13	1.5968	38
hatred	202	neg	1	0	4.3	0.9983	3.53	1.4201	3.6	1.4184	3.8	1.4821	35
hawk	536	   	1.73	1.1689	1.23	0.6339	1.23	0.6087	2	1.0892	1.37	0.7679	38
hay	784	   	1.53	0.9962	1.18	0.4946	1.12	0.4526	1.21	0.5123	1.48	0.7581	38
headache	203	   	1.09	0.4867	2.91	1.4423	2.61	1.482	2.09	1.4114	2.09	1.4918	38
headlight	785	   	2.1	1.1361	1.77	1.0387	1.57	1.0667	1.8	1.2455	1.43	1.0347	35
heal	786	H  	3.76	1.3054	1.3	0.6011	1.48	0.797	1.64	1.0577	1.21	0.5123	38
health	204	H  	4.27	1.0224	1.77	1.1152	2	1.1574	2.37	1.2919	1.63	1.0387	35
heart	787	H  	4	1.2247	1.24	1.0747	1.7	1.2327	1.48	1.0592	1.24	1.1191	41
heaven	205	H  	4.82	0.5273	1.18	0.6543	1.39	0.8876	1.61	0.9741	1.18	0.6914	41
hell	788	   	1.06	0.6914	3.54	1.3929	3.52	1.4099	4.33	1.1566	2.76	1.8095	41
helpless	206	   	1	0.1508	2.36	1.454	3.82	1.1119	3.12	1.4326	1.67	1.231	44
heroin	789	   	1.44	1.3692	3.27	1.7066	3.38	1.5692	3.61	1.6111	3.88	1.6279	46
hide	207	   	1.31	0.8748	1.77	1.2303	2.17	1.5177	3.29	1.6549	1.37	0.7949	46
highway	562	   	1.8	1.404	1.57	1.1552	1.4	1.1576	1.77	1.1358	1.09	0.4477	43
hinder	790	   	1.37	0.7337	2.43	1.2611	2.31	1.0159	2.06	1.2375	1.9	1.029	41
history	208	   	1.67	1.244	1.21	0.9772	1.52	1.0494	1.3	1.0024	1.42	1.0977	41
hit	594	   	1.58	1.1178	3.45	1.3199	2.76	1.3079	3.09	1.4126	2.58	1.3582	41
holiday	791	H  	4.76	0.5769	1.24	0.6752	1.52	0.8297	1.33	0.8417	1.15	0.6646	38
home	209	H  	3.97	1.4271	1.51	0.9366	1.89	1.2544	1.49	0.981	1.4	0.8958	46
honest	210	H  	4.13	1.1035	1.4	1.0329	1.4	0.8621	1.5	1.0035	1.03	0.2263	38
honey	792	H  	3.43	1.3294	1.17	0.414	1.27	0.528	1.23	0.5123	1.5	1.2025	38
honor	211	H  	4.18	1.0494	1.15	0.6008	1.3	0.8293	1.3	0.9513	1.12	0.8301	41
hooker	793	   	1.03	0.1622	2.23	1.4431	3.1	1.5058	2.07	1.4736	4.03	1.339	38
hope	794	H  	4.33	0.8381	1	0	1.18	0.4593	1.3	0.6237	1	0	41
hopeful	212	H  	4.26	0.9004	1.26	0.5588	1.69	1.1451	1.57	0.9587	1.23	0.6988	43
horror	213	F  	1.09	0.3377	2.17	1.3672	2.31	1.3652	3.89	1.2724	2.2	1.3945	43
horse	214	*	2.52	1.622	1.15	0.512	1.09	0.6291	1.61	0.9569	1.18	0.6286	46
hospital	215	SF 	1.53	0.9772	1.9	1.1101	3.51	1.1295	3.54	1.1301	2.18	1.1585	38
hostage	216	   	1.03	0.5728	2.82	1.2826	2.94	1.2208	3.88	1.4181	2.03	1.2547	41
hostile	217	   	1.09	0.4423	4.14	1.1278	2.63	1.3698	3	1.5487	2.26	1.4307	46
hotel	795	   	3	1.4134	1.06	0.3661	1.43	0.791	1.4	0.6909	1.54	1.0962	43
house	563	H*	3.27	1.593	1.03	0.4775	1.12	0.525	1.06	0.3997	1.06	0.6411	41
hug	218	H  	4.43	1.1951	1.1	0.4867	1.43	0.8285	1.1	0.3883	1	0	38
humane	796	H  	2.73	1.5419	1.09	0.4217	1.09	0.4578	1.18	0.5568	1.03	0.3458	41
humble	219	H*	3.27	1.4841	1.3	0.687	1.58	1.0667	1.27	0.9684	1.12	0.3004	41
humiliate	797	*	1.09	0.3313	3.82	1.0621	3.94	0.9951	3.45	1.1423	2.88	1.2411	41
humor	220	H  	4.67	0.9667	1.03	0.5537	1.13	0.5811	1.12	0.803	1.12	0.7813	44
hungry	221	   	1.3	0.7986	1.7	0.9803	2.06	0.9325	1.36	0.7334	1.33	0.8381	41
hurricane	798	   	1.03	0.1525	2.97	1.4879	4	1.1869	4	1.1751	2.09	1.4391	43
hurt	222	   	1	0.603	3.39	1.335	3.79	1.0207	3.36	1.3108	2.15	1.5076	44
hydrant	564	   	1.61	1.0202	1.09	0.3994	1.06	0.4581	1.15	0.5571	1.18	0.7483	41
icebox	799	   	1.87	1.1061	1.33	0.7101	1.27	0.6108	1.47	0.9509	1.2	0.5681	35
idea	800	H  	2.94	1.1713	1.18	0.528	1.27	0.6011	1.18	0.528	1.12	0.3883	38
identity	801	   	2.36	1.4649	1.21	0.8555	1.12	0.5032	1.42	0.8285	1.12	0.3883	38
idiot	223	   	1.43	0.8706	2.17	1.452	2.06	1.2472	1.8	1.259	1.63	0.9479	46
idol	802	H*	3.24	1.5139	1.27	0.7193	1.42	1.0445	1.36	0.9521	1.27	0.7884	44
ignorance	803	   	1.39	0.794	2.97	1.3302	2.85	1.3593	2.52	1.4841	2.73	1.5004	41
illness	804	*	1.18	0.6679	2.39	1.2104	3.55	1.1513	3.44	1.0647	2.09	1.374	44
imagine	805	H  	3.63	1.3035	1.17	0.741	1.27	0.7787	1.7	1.1783	1.17	0.751	38
immature	806	   	1.36	0.7777	2.76	1.353	1.67	1.0151	1.52	0.9246	1.91	1.1524	41
immoral	807	   	1.15	0.422	2.7	1.3947	2.33	1.2223	1.97	1.1723	2.36	1.5182	41
impair	808	   	1.15	0.3992	2.3	1.2548	2.52	1.2035	2.18	1.3519	1.76	1.1447	41
impotent	224	   	1.45	0.8348	1.98	1.0893	2.24	1.2215	1.93	1.317	1.93	1.0398	38
impressed	225	H  	3.82	1.2039	1.18	0.4193	1.06	0.2061	1.2	0.7051	1.14	0.482	46
improve	226	H  	4.17	1.0896	1.23	0.9186	1.23	0.9186	1.4	1.0083	1.09	0.2578	43
incentive	809	H  	3.73	1.3391	1.5	0.9185	1.37	0.8321	1.43	0.7746	1.3	0.78	35
indifferent	810	   	1.57	0.9788	1.83	1.0224	1.67	0.9	1.6	0.9167	1.53	0.7811	35
industry	227	   	1.83	1.0675	1.73	0.9805	1.6	0.9103	1.7	1.0274	1.87	1.2244	35
infant	811	H  	3.87	1.3653	1.17	0.5287	1.23	0.5626	1.73	1.3241	1.17	0.4741	38
infatuation	516	H*	3.38	1.3729	1.77	1.0568	1.71	1.0925	1.8	1.1118	1.49	0.8269	38
infection	228	   	1.04	0.169	2.1	1.2945	2.79	1.2399	3.79	1.051	3.6	1.3138	35
inferior	812	   	1.33	0.8671	2.85	1.503	2.64	1.2848	2.27	1.3443	1.91	1.2119	38
inhabitant	813	   	1.73	1.2802	1.12	0.4775	1.12	0.6286	1.27	0.6334	1.18	0.7036	41
injury	595	   	1.06	0.3457	2.15	1.196	3.12	0.937	2.82	1.2082	1.58	1.0306	41
ink	229	   	1.6	1.0941	1.26	0.6384	1.17	0.5598	1.2	0.6521	1.2	0.6877	43
innocent	814	*	2.94	1.3947	1.36	0.9213	1.52	0.9902	1.88	1.091	1.33	0.7754	41
insane	815	   	1.17	0.7299	2.5	1.3899	2.87	1.398	3.3	1.6347	2.07	1.1267	38
insect	816	   	1.48	0.8463	1.24	0.6237	1.09	0.4428	2.7	1.231	3.3	1.3939	44
insecure	230	   	1.13	0.5088	2.23	1.1492	3.23	1.1563	3.17	1.3483	1.77	0.9777	38
insolent	231	   	1.35	0.5302	2.34	1.0852	2.32	1.054	2.09	1.1042	1.87	0.9308	35
inspire	232	H  	4.12	1.0943	1.09	0.3457	1.18	0.4775	1.09	0.3457	1.09	0.3745	41
inspired	233	H  	4.12	0.9824	1.21	0.6516	1.09	0.4946	1.15	0.4946	1.06	0.3244	38
insult	817	   	1.2	0.7176	3.53	1.2926	2.97	1.4142	2.43	1.5551	2.53	1.6867	38
intellect	818	H  	2.97	1.4579	1.36	0.6496	1.18	0.4593	1.3	0.6018	1.27	0.6237	41
intercourse	819	H  	4.3	0.9571	1.23	0.4902	1.37	0.7311	1.9	1.2945	1.33	0.6391	35
interest	234	H  	3.3	1.2198	1.36	0.7408	1.33	0.7334	1.52	0.8055	1.24	0.6237	41
intimate	821	H  	4.14	1.3536	1.26	0.6623	1.57	1.0641	1.94	1.2649	1.14	0.3147	46
intruder	822	   	1.12	0.5088	3.36	1.3695	2.73	1.558	4.27	1.1128	2.82	1.5966	38
invader	823	   	1	0	3.46	1.4498	2.8	1.3579	3.86	0.9989	2.77	1.4804	43
invest	824	   	2.86	1.5667	1.26	0.9033	1.26	0.7949	2.14	1.5036	1.11	0.7864	46
iron	565	   	1.38	0.7893	1.46	1.1451	1.23	0.6027	1.52	1.1075	1.12	0.4693	46
irritate	235	A  	1.14	0.6047	3.74	1.3101	2.17	1.3406	1.97	1.4082	2.37	1.5997	46
item	825	   	1.48	1.1566	1.12	0.8138	1.18	0.6008	1.18	0.5706	1.12	0.725	41
jail	236	neg	1.27	0.6524	3.18	1.2736	3.33	1.2659	3.64	1.3421	3.18	1.4424	41
jealousy	237	   	1.17	0.8522	3.57	1.1539	3.13	1.3313	2.77	1.5162	2.57	1.4084	38
jelly	238	*	2.39	1.2168	1	0.4362	1	0.4362	1	0.3123	1.24	0.708	41
jewel	239	H  	4.2	1.1277	1.13	0.3883	1.23	0.4565	1.1	0.3588	1.17	0.4946	38
joke	826	H  	4.43	0.9711	1.29	0.72	1.2	0.6431	1.17	0.4005	1.31	0.7617	46
jolly	827	H  	4.69	0.6623	1.03	0.1474	1.11	0.6047	1.06	0.2949	1	0.3267	46
journal	828	   	2.55	1.2401	1.94	1.1487	2.06	1.2826	1.82	1.1524	1.67	1.0459	41
joy	240	H  	4.7	0.5823	1.06	0.3123	1.09	0.3457	1.03	0.1562	1.03	0.1562	41
joyful	241	H  	4.7	0.8353	1.09	0.4867	1.06	0.3244	1	0	1	0	38
jug	829	   	1.53	0.8263	1.3	0.7862	1.23	0.5626	1.2	0.4946	1.4	0.8732	38
justice	242	H  	3.87	1.3137	1.52	1.0669	1.52	1.0192	1.52	1.0743	1.38	0.9456	38
kerchief	830	   	1.7	0.9991	1.32	0.6324	1.5	0.8224	1.28	0.5754	1.54	0.8215	38
kerosene	243	   	1.18	0.5287	1.84	1.3263	1.73	1.2274	2.28	1.5304	1.73	0.9761	46
ketchup	831	   	2.06	1.294	1.21	0.807	1.18	0.7994	1.15	0.7587	1.61	1.1455	41
kettle	832	   	2.03	1.2989	1.24	0.5222	1.3	0.6237	1.33	0.5937	1.12	0.4087	44
key	833	   	1.89	1.3059	1.34	0.7726	1.14	0.5314	1.23	0.5003	1.03	0.1525	43
