word	ANEW #	male_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
door	130	   	1.7	1.09	1.7	0.95	1.4	0.67	1.43	0.77	1.23	0.63	30
dove	730	H  	3.25	1.43	1.04	0.19	1.14	0.59	1.07	0.26	1.07	0.26	28
dreadful	131	   	1.21	0.62	2.28	1.31	2.59	1.32	2.62	1.27	2.38	1.42	29
dream	132	H  	3.61	1.05	1.45	0.81	1.61	1.05	1.65	0.95	1.29	0.69	31
dreary	731	S  	1.11	0.42	1.46	0.69	3	1.25	1.5	0.92	1.43	0.88	28
dress	133	*	2.29	1.24	1.18	0.48	1.21	0.57	1.32	0.72	1.11	0.42	28
drown	591	*	1.03	0.19	2.46	1.57	3.55	1.48	4.1	1.18	2.1	1.29	29
dummy	732	   	1.26	0.51	2	1.15	1.87	1.12	1.55	0.99	1.65	1.2	31
dump	733	*	1.13	0.43	2.3	1.24	2.47	1.59	2.13	1.43	2.47	1.55	30
dustpan	555	   	1.11	0.57	1.18	0.55	1.11	0.57	1.07	0.38	1.39	0.74	28
earth	134	H  	3.47	1.31	1.8	1.27	2.07	1.36	1.9	1.3	1.73	1.26	30
easy	734	H  	3.94	1.26	1.06	0.25	1.06	0.25	1.19	0.75	1.1	0.4	31
easygoing	135	H  	3.78	1.17	1.18	0.48	1.14	0.45	1.21	0.69	1.14	0.59	28
eat	136	H  	3.83	1.39	1.24	0.79	1.45	1.02	1.21	0.62	1.59	1.02	29
ecstasy	735	H  	3.97	1.35	1.1	0.4	1.2	0.55	1.93	1.17	1.47	1.01	30
education	137	H  	3.46	1.35	1.46	0.74	1.29	0.6	1.57	1	1.11	0.42	28
egg	736	   	1.97	1.22	1.26	0.63	1.16	0.52	1.26	0.63	1.39	0.92	31
elated	138	H  	3.9	1.22	1.25	0.78	1.16	0.44	1.12	0.41	1.05	0.19	29
elbow	737	   	1.35	0.91	1.35	1.05	1.23	0.8	1.29	0.86	1.1	0.4	31
elegant	139	H  	2.84	1.13	1.32	0.6	1.39	0.76	1.16	0.45	1.16	0.45	31
elevator	738	   	1.36	0.78	1.07	0.26	1.11	0.42	1.5	0.96	1.04	0.19	28
embarrassed	140	   	1.5	0.94	2.63	1.27	2.7	1.15	2.83	1.39	1.97	1	30
embattled	141	   	1.28	0.58	2.48	1.19	2.19	1.1	2.74	1.31	1.92	0.98	30
employment	147	*	3.33	1.47	2	1.08	1.47	0.78	1.93	1.08	1.4	0.72	30
engaged	143	H  	4.03	1.27	1.14	0.35	1.21	0.41	1.9	0.98	1.1	0.31	29
engine	148	   	1.74	1.12	1.1	0.3	1.13	0.43	1.32	0.65	1.32	0.65	31
enjoyment	145	H  	4.32	0.98	1.03	0.18	1.06	0.25	1.1	0.4	1.13	0.43	31
ennui	146	   	1.39	0.6	1.26	0.53	1.3	0.73	1.41	0.84	1.3	0.73	31
enraged	149	A  	1.07	0.36	4.03	1.28	2.1	1.08	2.6	1.36	1.67	1.01	31
erotic	512	H  	3.87	1.01	1.13	0.43	1.07	0.37	1.27	0.52	1.37	0.76	30
errand	150	   	1.6	0.86	1.8	1.03	1.33	0.66	1.2	0.61	1.5	0.9	30
event	740	   	2.5	1.26	1.43	0.88	1.43	0.84	1.43	0.88	1.29	0.76	28
evil	741	*	1.04	0.19	3.54	0.88	2.55	1.4	3.5	1.26	2.36	1.42	28
excellence	151	H  	4.3	1.02	1.23	0.5	1.17	0.46	1.23	0.57	1.23	0.57	30
excitement	152	H  	4.48	0.74	1.24	0.64	1.1	0.31	1.24	0.64	1.03	0.19	29
excuse	153	   	1.66	1.01	1.93	1	1.55	0.87	1.59	0.91	1.86	1.13	29
execution	154	*	1.16	0.58	2.94	1.48	3.1	1.49	2.84	1.55	2.61	1.58	31
exercise	155	H  	3.52	1.36	1.55	0.96	1.35	0.84	1.26	0.82	1.35	0.91	31
fabric	742	   	1.62	0.9	1.31	0.85	1.21	0.82	1.21	0.77	1.34	0.9	29
face	556	   	2.77	1.41	1.6	0.89	1.77	0.97	1.6	1.04	1.53	0.82	30
failure	156	   	1.1	0.31	3.3	1.34	3.7	0.99	3.67	0.96	2.63	1.47	30
fall	743	   	2.42	1.48	1.42	0.72	1.48	0.68	1.68	1.08	1.2	0.65	31
false .	744	   	1.17	0.38	2.77	1.14	1.97	1.13	1.93	1.11	1.7	0.99	30
fame	157	H  	3.64	1.16	1.32	0.77	1.29	0.76	1.43	0.92	1.32	0.86	28
family	158	H  	4.5	0.88	1.43	0.57	1.36	0.68	1.14	0.36	1.11	0.31	28
famous	745	H  	3.39	1.4	1.21	0.42	1.14	0.45	1.21	0.57	1.39	0.79	28
fantasy	746	H  	3.86	1.33	1.24	0.69	1.14	0.44	1.21	0.68	1.17	0.76	29
farm	557	   	2.83	1.39	1.27	0.52	1.57	1.01	1.3	0.65	1.73	0.94	30
fascinate	159	H  	3.6	1.04	1.2	0.48	1.2	0.55	1.33	0.76	1.1	0.4	30
fat	160	   	1.57	0.94	2.7	1.29	2.73	1.17	2.43	1.14	3.37	1.47	30
father 	161	H  	3.81	1.17	1.55	1.03	1.35	0.91	1.42	0.89	1.13	0.56	31
fatigued	162	   	1.47	0.94	1.77	0.94	1.77	0.97	1.73	0.94	1.53	0.73	30
fault	747	   	1.17	0.47	2.66	1.29	1.97	0.94	2.28	1.19	1.72	1.25	29
favor	748	H  	2.87	1.31	1.39	0.72	1.29	0.53	1.32	0.65	1.48	1.03	31
fear	592	F  	1.16	0.45	2.19	1.28	2.26	1.18	4.55	0.96	1.48	0.85	31
fearful	163	F  	1.04	0.19	2.25	1.32	2.21	1.29	4.11	1.17	1.39	0.83	28
feeble	164	   	1.31	0.58	1.69	0.97	2.14	1.23	1.55	0.84	1.41	0.88	31
festive	749	H  	4.23	1.07	1.17	0.46	1.27	0.64	1.17	0.46	1.17	0.53	30
fever	750	   	1.13	0.5	2	1.13	2.32	1.05	2.19	1.22	1.77	0.99	31
field	558	   	2.68	1.62	1.23	0.56	1.29	0.64	1.26	0.63	1.16	0.52	31
fight	751	   	1.46	0.96	3.57	1.32	2.29	1.38	2.64	1.25	1.82	1.22	28
filth	165	D  	1.48	1.09	2.21	1.15	2.31	1.26	2.03	1.32	4	1.2	29
finger	752	   	2.1	1.49	1.37	0.85	1.4	0.81	1.43	0.82	1.4	0.89	30
fire	166	   	1.45	0.99	2.52	1.24	2.76	1.38	3.28	1.28	1.83	1.2	29
fireworks	513	H  	3.61	1.15	1.26	0.58	1.23	0.56	1.71	0.97	1.13	0.43	31
fish	559	   	2.74	1.53	1.13	0.34	1.35	0.88	1.16	0.45	1.42	0.81	31
flabby	167	   	1.37	0.93	2.03	1.07	2.2	1.16	1.67	0.92	3.37	1.45	30
flag	753	H  	3.14	1.3	1.45	0.78	1.55	0.83	1.48	0.91	1.34	0.9	29
flirt	754	H  	3.97	1.1	1.57	0.86	1.63	0.96	1.6	1.04	1.43	0.86	30
flood	755	   	1.17	0.54	2.31	1.04	3.45	1.24	3.1	1.37	2.45	1.53	29
flower	168	H  	3.16	1.42	1.23	0.8	1.48	0.96	1.23	0.67	1.19	0.65	31
foam	756	   	1.81	1.05	1.23	0.5	1.26	0.63	1.32	0.83	1.39	0.8	31
food	514	H  	3.71	1.1	1.42	1.09	1.35	0.95	1.32	0.75	1.74	1.09	31
foot	757	   	1.53	0.97	1.23	0.5	1.17	0.53	1.17	0.53	2.07	1.11	30
fork	560	   	1.77	1.17	1.1	0.3	1.13	0.43	1.13	0.43	1.35	0.84	31
foul	169	   	1.31	0.71	2.66	1.4	1.62	0.94	1.76	1.18	2.54	1.5	29
fragrance	170	H  	3.4	1.07	1.47	0.82	1.63	0.85	1.33	0.66	2.1	1.18	30
fraud	171	*	1.16	0.52	3.03	1.2	2.19	1.08	1.97	0.98	2.16	1.39	31
free	172	H  	4.21	0.96	1.21	0.79	1.04	0.19	1.29	0.85	1.14	0.59	28
freedom	173	H  	3.93	1.2	1.4	0.62	1.57	0.9	1.5	0.82	1.17	0.75	30
friend	174	H  	4.58	0.66	1.34	0.54	1.44	0.72	1.14	0.43	1.03	0.18	31
friendly	175	H  	4.46	0.69	1.04	0.19	1.07	0.38	1.04	0.19	1.04	0.19	28
frigid	758	   	1.2	0.48	1.73	0.87	2	1.05	2.3	1.24	1.63	0.85	30
frog	176	   	2.39	1.23	1.23	0.56	1.26	0.58	1.35	0.84	1.58	0.99	31
frustrated	177	A  	1	0.01	3.75	1.17	2	1.12	1.75	1.11	1.82	1.28	28
fun	759	H  	4.68	0.79	1.03	0.18	1.06	0.25	1.1	0.3	1.03	0.18	31
funeral	178	S  	1.03	0.18	2.5	1.17	4.2	1.1	2.73	1.26	1.8	1.1	30
fungus	179	D  	1.29	0.74	1.42	0.99	1.39	0.88	1.71	1.07	3.29	1.44	31
fur	180	   	2.47	1.22	1.37	0.85	1.47	0.94	1.3	0.7	1.57	1.1	30
game	760	H  	3.38	1.37	1.66	0.97	1.59	0.87	1.45	0.74	1.28	0.59	29
gangrene	181	   	1.11	0.4	1.93	1.09	2.39	1.33	2.57	1.28	3.47	1.49	31
garbage	182	D  	1.14	0.76	1.64	0.99	1.49	1.03	1.57	1.1	3.43	1.4	28
garden	761	*	2.81	1.6	1.13	0.43	1.06	0.25	1.1	0.3	1.32	0.83	31
garment	762	   	1.97	1.3	1.33	0.66	1.17	0.53	1.13	0.43	1.17	0.46	30
garter	534	H*	3.17	1.36	1.28	0.64	1.16	0.52	1.42	0.86	1.12	0.41	29
gender	763	   	2.24	1.41	1.45	0.87	1.52	1.06	1.38	0.9	1.45	0.87	29
gentle	183	H  	3.45	1.15	1.41	1.02	1.24	0.79	1.31	0.93	1.17	0.54	29
germs	764	*	1.3	0.6	1.87	0.82	2.03	0.96	2.8	1.3	3.43	1.38	30
gift	184	H  	4.31	1.07	1.17	0.76	1.21	0.77	1.31	0.93	1.07	0.37	29
girl	185	H  	3.8	1.24	1.4	0.77	1.63	1.03	1.6	0.89	1.13	0.43	30
glacier	186	   	1.82	1.12	1.11	0.42	1.21	0.57	1.61	0.96	1.04	0.19	28
glamour	187	H  	2.81	1.22	1.39	0.67	1.39	0.62	1.26	0.51	1.58	1.03	31
glass	765	   	1.69	0.97	1.34	0.72	1.31	0.66	1.62	0.94	1.14	0.52	29
gloom	188	S  	1.28	0.65	1.72	0.8	3.1	1.11	1.93	1.19	1.69	0.93	29
glory	189	H  	4.16	1.1	1.32	0.75	1.23	0.62	1.23	0.5	1.1	0.3	31
god	190	H  	3.86	1.41	1.39	1.07	1.5	1.07	2.14	1.58	1.14	0.76	28
gold	191	H  	3.59	1.3	1.21	0.77	1.07	0.26	1.17	0.54	1.28	0.75	29
golfer	535	H  	3.34	1.52	1.52	0.87	1.21	0.68	1.21	0.62	1.34	0.86	29
good	766	H  	4.43	0.73	1.2	0.76	1.1	0.31	1.1	0.31	1.07	0.25	30
gossip	767	   	1.31	0.76	3.38	1.18	2.1	1.18	1.93	1.22	2.97	1.48	29
graduate	192	H  	4.06	1.29	1.16	0.58	1.68	1.05	1.84	1.07	1.16	0.58	31
grass	768	*	2.71	1.47	1.26	0.63	1.1	0.3	1.16	0.45	1.19	0.48	31
grateful	193	H  	3.69	1.17	1.1	0.41	1.17	0.54	1	0	1	0	29
greed	769	   	1.39	0.83	2.82	1.33	2.32	1.31	2.21	1.45	2.79	1.52	28
green	194	H  	2.93	1.49	1.17	0.47	1.1	0.31	1.1	0.31	1.1	0.31	29
greet	770	H  	3.5	1.01	1.23	0.57	1.17	0.46	1.53	0.9	1.13	0.43	30
grenade	771	   	1.11	0.57	2.61	1.57	2.07	1.33	3.29	1.44	1.71	1.24	28
grief	195	*	1.27	0.69	2.5	1.14	3.6	1.25	2.1	1.09	1.67	0.96	30
grime	772	D  	1	0	1.64	0.83	1.29	0.53	1.5	1.07	3.57	1.4	28
grin	773	H  	3.73	1.17	1.33	0.92	1.23	0.82	1.2	0.61	1.24	0.62	30
gripe	774	   	1.14	0.45	2.39	1.2	1.39	0.92	1.21	0.57	1.71	1.01	28
guillotine	196	*	1.1	0.31	2.59	1.45	2.31	1.69	3.24	1.53	2.72	1.65	29
guilty	197	*	1.18	0.48	2.5	1.23	2.57	1.32	2.46	1.4	1.79	1.17	28
gun	593	   	1.39	0.79	2.57	1.48	2.18	1.44	3.39	1.26	1.86	1.35	28
gymnast	515	   	2.68	1.51	1.16	0.37	1.13	0.34	1.42	0.81	1.13	0.56	31
habit	775	   	1.86	0.99	1.72	0.84	1.55	0.83	1.69	1.04	1.59	1.12	29
hairdryer	561	   	1.69	1.14	1.45	0.91	1.17	0.54	1.28	0.65	1.34	0.9	29
hairpin	776	   	1.33	0.66	1.17	0.38	1.23	0.57	1.17	0.46	1.13	0.35	30
hamburger	777	H*	3.04	1.29	1.18	0.48	1.14	0.59	1.18	0.55	1.43	0.84	28
hammer	198	   	1.52	0.93	1.81	1.3	1.35	0.91	1.61	1.15	1.26	0.86	31
hand	778	   	2.16	1.37	1.26	0.58	1.35	0.8	1.26	0.58	1.26	0.58	31
handicap	779	   	1.24	0.83	1.76	1.06	2.9	1.4	2.21	1.21	1.38	0.73	29
handsome	199	H  	3.76	1.38	1.28	0.84	1.14	0.35	1.21	0.56	1.07	0.26	29
haphazard	780	   	1.32	0.66	2.1	1.01	1.74	0.83	2.34	1.37	1.84	1.19	29
happy	200	H  	4.48	1	1.1	0.4	1.32	0.83	1.16	0.45	1.1	0.3	31
hard	781	   	1.45	0.81	2.23	1.17	1.52	0.63	1.71	0.97	1.19	0.48	31
hardship	782	   	1.23	0.68	2.87	1.2	2.9	1.37	2.8	1.4	1.73	0.87	30
hat	783	   	2.4	1.43	1.17	0.46	1.2	0.55	1.1	0.4	1.27	0.83	30
hate	201	neg*	1	0	3.75	1.17	2.68	1.19	2.68	1.28	2.86	1.56	28
hatred	202	neg	1.24	0.69	4.03	1.24	3.14	1.43	2.93	1.31	3.41	1.27	29
hawk	536	   	2.27	1.27	1.14	0.52	1.07	0.38	1.5	0.79	1	0	28
hay	784	   	1.89	1.31	1.11	0.42	1.14	0.52	1.14	0.52	1.07	0.26	28
headache	203	   	1	0	2.68	1.49	2.21	1.23	2.14	1.38	1.75	1.14	28
headlight	785	   	1.66	0.94	1.28	0.7	1.24	0.58	1.59	0.82	1.1	0.41	29
heal	786	H  	3.75	1.17	1.18	0.55	1.18	0.55	1.21	0.69	1.11	0.42	28
health	204	H  	4.14	0.95	1.45	0.78	1.59	0.95	1.9	1.08	1.38	0.73	29
heart	787	H  	3.32	1.49	1.26	0.63	1.48	0.89	1.32	0.65	1.13	0.43	31
heaven	205	H  	4.19	1.17	1.16	0.52	1.29	0.82	1.55	0.81	1.06	0.36	31
hell	788	   	1.16	0.45	2.74	1.67	2.84	1.39	3.19	1.56	2.48	1.63	31
helpless	206	   	1.2	0.48	3.17	1.18	3.3	0.99	2.87	1.33	2	0.98	30
heroin	789	   	1.55	1.29	2.13	1.36	2.03	1.25	2.13	1.43	2.9	1.68	31
hide	207	   	1.48	0.89	1.42	0.89	1.61	0.95	2.48	1.39	1.19	0.54	31
highway	562	   	2.41	1.24	1.59	1.02	1.1	0.31	1.45	0.74	1.34	0.77	29
hinder	790	   	1.33	0.66	2.67	1.03	2.4	1.19	2.2	1.19	2.07	1.11	30
history	208	   	2.06	1.21	1.55	0.89	1.68	0.98	1.55	0.93	1.52	0.89	31
hit	594	   	1.6	1.1	3	1.46	2.17	1.15	2.23	1.17	1.87	1.22	30
holiday	791	H  	4.5	0.75	1.11	0.42	1.36	0.73	1.04	0.19	1.04	0.19	28
home	209	H  	4.11	1.3	1.26	0.51	1.42	0.85	1.16	0.45	1.06	0.25	31
honest	210	H  	3.75	1	1.07	0.26	1.18	0.39	1.46	0.92	1.04	0.19	28
honey	792	H  	2.96	1.43	1.14	0.36	1.18	0.61	1.04	0.19	1.07	0.26	28
honor	211	H  	4	1.17	1.43	1.01	1.3	0.75	1.17	0.53	1.33	0.88	30
hooker	793	   	1.64	1.28	1.54	0.92	2.21	1.17	1.18	0.48	3.32	1.42	28
hope	794	H  	3.58	1.12	1.23	0.5	1.55	0.93	1.42	0.92	1.23	0.62	31
hopeful	212	H  	3.79	1.11	1.31	0.6	1.38	0.73	1.34	0.67	1.1	0.41	29
horror	213	F  	1.34	0.77	1.86	1.03	1.62	1.01	3.55	1.21	1.55	1.02	29
horse	214	H*	3	1.51	1.1	0.3	1.13	0.56	1.23	0.56	1.23	0.56	31
hospital	215	*	1.32	0.67	1.64	0.99	3.04	1.35	3	1.41	1.82	1.09	28
hostage	216	   	1.16	0.64	2.74	1.18	2.71	1.16	2.84	1.27	2.1	1.11	31
hostile	217	   	1.16	0.58	3.29	1.35	1.81	1.22	2.71	1.37	1.68	1.25	31
hotel	795	   	2.86	1.33	1.48	0.99	1.41	0.91	1.34	0.94	1.62	1.01	29
house	563	*	2.9	1.58	1.26	0.58	1.39	0.84	1.19	0.54	1.32	0.83	31
hug	218	H  	4.25	0.97	1.18	0.77	1.32	0.94	1.23	0.79	1.18	0.77	28
humane	796	H  	2.94	1.44	1.19	0.48	1.35	0.71	1.26	0.68	1.19	0.54	31
humble	219	*	2.7	1.29	1.33	0.76	1.5	0.94	1.27	0.78	1.13	0.43	30
humiliate	797	*	1.23	0.68	3.37	1.61	3.4	1.38	3.03	1.4	2.67	1.6	30
humor	220	H  	4.23	1.17	1.17	0.46	1.27	0.64	1.13	0.35	1.27	0.58	30
hungry	221	   	1.52	0.96	1.65	1.05	1.81	1.17	1.61	0.92	1.55	0.89	31
hurricane	798	   	1.14	0.58	2.72	1.46	3.45	1.4	3.31	1.67	2.24	1.66	29
hurt	222	   	1.14	0.43	3.1	1.24	3.2	1.16	3	1.08	2.33	1.35	30
hydrant	564	   	1.65	0.91	1.19	0.54	1.23	0.56	1.16	0.45	1.1	0.4	31
icebox	799	   	1.86	1.19	1.28	0.8	1.45	1.12	1.38	1.08	1.14	0.52	29
idea	800	H  	3.04	1.23	1.46	0.84	1.43	0.84	1.46	0.84	1.36	0.73	28
identity	801	   	2.36	1.31	1.43	0.79	1.43	0.88	1.61	0.96	1.14	0.45	28
idiot	223	   	1.35	0.75	2.39	1.45	1.94	1.09	1.45	0.96	2.03	1.25	31
idol	802	*	2.53	1.33	1.53	0.97	1.63	0.96	1.33	0.66	1.57	1.01	30
ignorance	803	   	1.2	0.61	3.13	1.41	2.13	1.33	1.93	1.34	2.67	1.49	30
illness	804	neg*	1.07	0.25	2.5	1.11	2.97	1.13	2.93	1.17	2.77	1.43	30
imagine	805	H  	3.32	1.19	1.14	0.36	1.14	0.36	1.32	0.61	1.04	0.19	28
immature	806	   	1.53	0.82	2.53	1.33	1.5	0.73	1.37	0.76	2.3	1.39	30
immoral	807	   	1.29	0.82	2.52	1.31	2.29	1.19	2.03	1.17	2.29	1.32	31
impair	808	   	1.27	0.64	2.17	1.15	2.18	1.09	2.53	1.17	1.67	0.88	30
impotent	224	   	1.04	0.19	2	1.02	2.36	1.25	2.11	1.2	1.86	1.24	28
impressed	225	H  	3.35	1.2	1.23	0.5	1.19	0.48	1.39	0.8	1.06	0.25	31
improve	226	H  	3.66	1.32	1.24	0.51	1.14	0.44	1.38	0.78	1.03	0.19	29
incentive	809	H  	3.21	1.5	1.21	0.56	1.17	0.47	1.45	0.83	1.24	0.79	29
indifferent	810	   	1.66	0.81	1.55	0.78	1.66	0.9	1.52	0.83	1.45	0.74	29
industry	227	   	1.86	1.19	1.45	0.95	1.31	0.6	1.1	0.31	1.52	1.09	29
infant	811	H  	3.41	1.28	1.29	0.81	1.07	0.26	1.18	0.39	1.07	0.26	28
infatuation	516	*	2.71	1.49	1.39	0.74	1.32	0.61	1.39	0.83	1.36	0.73	28
infection	228	   	1.24	0.83	2.65	1.54	2.79	1.42	3.07	1.62	3.52	1.38	29
inferior	812	   	1.07	0.38	2.57	1.37	2	1.31	2.04	1.37	1.86	1.15	28
inhabitant	813	   	1.68	0.94	1.16	0.45	1.29	0.64	1.29	0.59	1.16	0.45	31
injury	595	   	1.29	0.78	2.52	1.21	2.65	1.11	2.61	1.31	1.77	1.09	31
ink	229	   	1.83	1.28	1.36	0.72	1.17	0.6	1.24	0.74	1.24	0.64	29
innocent	814	H*	3.17	1.29	1.3	0.6	1.27	0.69	1.33	0.84	1.27	0.58	30
insane	815	   	1.07	0.26	2.43	1.43	2.68	1.09	2.79	1.34	1.61	0.99	28
insect	816	   	1.6	0.89	1.83	1.29	1.5	1.04	2.33	1.24	2.43	1.36	30
insecure	230	   	1.07	0.26	2	1.02	2.71	1.21	2.38	1.42	1.75	1.11	28
insolent	231	   	1.52	0.8	1.77	0.93	2.13	1.06	1.88	1.11	1.78	1.07	29
inspire	232	H  	3.58	1.36	1.26	0.58	1.26	0.51	1.23	0.56	1.13	0.43	31
inspired	233	H  	3.86	1.18	1.18	0.55	1.21	0.57	1.36	0.83	1.14	0.52	28
insult	817	   	1.04	0.19	3.21	1.26	2.21	1.07	1.75	0.97	1.93	1.25	28
intellect	818	H  	2.97	1.25	1.4	0.67	1.17	0.46	1.37	0.67	1.17	0.46	30
intercourse	819	H  	4.48	1.02	1	0	1.21	0.56	1.24	0.51	1.1	0.31	29
interest	234	H  	2.93	1.34	1.43	0.73	1.43	0.73	1.37	0.81	1.37	0.72	30
intimate	821	H  	4.32	1.01	1.03	0.18	1.16	0.45	1.19	0.54	1.06	0.25	31
intruder	822	   	1	0	3.61	1.31	1.71	1.24	3.25	1.27	2.21	1.29	28
invader	823	   	1.17	0.76	3.34	1.47	2	1.36	3.21	1.57	2.76	1.68	29
invest	824	   	2.87	1.31	1.26	0.63	1.23	0.56	1.58	0.81	1.17	0.45	31
iron	565	   	1.48	0.96	1.42	0.85	1.13	0.43	1.23	0.5	1.06	0.25	31
irritate	235	A  	1.23	0.5	3.52	0.96	1.52	0.72	1.52	0.72	1.55	0.93	31
item	825	   	1.58	1.09	1.35	0.84	1.29	0.74	1.26	0.73	1.23	0.67	31
jail	236	neg	1.07	0.25	3.17	1.37	3.17	1.51	3.4	1.61	3.07	1.7	30
jealousy	237	   	1.04	0.19	3.21	1.07	2.61	1.23	2.21	1.29	2.21	1.32	28
jelly	238	H*	2.71	1.27	1.13	0.43	1.06	0.36	1.19	0.48	1.32	0.65	31
jewel	239	H  	3.46	1.23	1.21	0.63	1.11	0.31	1.11	0.31	1.07	0.26	28
joke	826	H  	3.94	1	1.48	0.85	1.16	0.45	1.16	0.45	1.58	0.89	31
jolly	827	H  	4.48	0.77	1.13	0.34	1.16	0.58	1.06	0.25	1.23	0.76	31
journal	828	   	1.87	1.17	1.47	0.82	1.73	0.91	1.5	0.82	1.23	0.63	30
joy	240	H  	4.23	1.12	1.1	0.4	1.26	0.68	1.16	0.52	1.19	0.79	31
joyful	241	H  	4.68	0.61	1.04	0.19	1	0	1	0	1	0	28
jug	829	   	1.64	1.25	1.14	0.76	1.11	0.57	1.04	0.19	1.18	0.67	28
justice	242	H  	3.39	1.26	1.46	0.74	1.29	0.6	1.54	0.92	1.32	0.67	28
kerchief	830	   	1.43	1	1.07	0.26	1.18	0.55	1.04	0.19	1.29	0.9	28
kerosene	243	   	1.43	0.96	1.48	1.06	1.32	0.83	1.65	1.08	1.61	1.05	31
ketchup	831	   	2.27	1.36	1.17	0.53	1.17	0.53	1.13	0.51	1.37	0.85	30
kettle	832	   	1.6	0.86	1.27	0.58	1.23	0.5	1.37	0.72	1.23	0.57	30
key	833	   	2.41	1.43	1.38	0.98	1.31	0.89	1.34	0.9	1.28	0.88	29
kick	834	   	2.03	1.3	2.03	1.18	1.24	0.58	1.28	0.59	1.21	0.56	29
kids	835	H  	4.14	1.19	1.83	1.28	1.69	1.34	1.86	1.38	1.48	1.24	29
killer	244	neg*	1.03	0.18	3.84	1.32	3.16	1.53	3.65	1.43	3.06	1.57	31
kind	245	H  	4	1.05	1.11	0.42	1.04	0.19	1	0	1	0	28
kindness	246	H  	4.36	0.91	1.04	0.19	1.07	0.26	1.04	0.19	1	0	28
king	247	   	3	1.46	1.58	0.92	1.23	0.5	1.58	1.06	1.23	0.62	31
kiss	248	H  	4.38	0.82	1.31	0.85	1.41	0.91	1.38	0.98	1.14	0.44	29
kitten	517	H  	3.55	1.5	1.23	0.5	1.29	0.59	1.23	0.67	1.19	0.48	31
knife	596	   	1.24	0.44	2.28	1.28	1.86	1.25	3.45	1.24	2.03	1.38	29
knot	836	   	1.42	0.92	2.13	1.43	1.35	0.88	1.23	0.76	1.06	0.25	31
knowledge	249	H  	3.19	1.4	1.29	0.74	1.29	0.78	1.32	0.7	1.16	0.45	31
lake	250	H  	3.55	1.43	1.13	0.34	1.19	0.48	1.32	0.6	1.26	0.58	31
lamb	837	H  	2.9	1.32	1.13	0.43	1.4	0.86	1.17	0.59	1.3	0.88	30
lamp	838	   	1.61	0.96	1.11	0.42	1.11	0.42	1.18	0.55	1.11	0.42	28
lantern	839	   	1.82	1.06	1.04	0.19	1.11	0.42	1.39	0.83	1	0	28
laughter	251	H  	4.35	0.98	1.1	0.3	1.16	0.45	1.06	0.25	1.06	0.25	31
lavish	840	H  	3.38	1.07	1.32	0.66	1.22	0.56	1.17	0.66	1.5	0.82	29
lawn	841	   	2.31	1.39	1.45	1.02	1.07	0.37	1.1	0.56	1.31	0.85	29
lawsuit	842	*	1.17	0.38	3.59	1.24	2.41	1.27	2.69	1.28	2.66	1.56	29
lazy	843	   	1.71	1.04	2.19	1.28	1.84	1.16	1.58	1.03	2.45	1.43	31
leader	844	H  	3.61	1.34	1.43	0.79	1.07	0.26	1.57	0.88	1.18	0.61	28
learn	252	H  	3.41	1.15	1.41	0.68	1.41	0.78	1.52	0.91	1.07	0.26	29
legend	845	H*	2.94	1.26	1.16	0.37	1.42	0.81	1.45	0.89	1.19	0.54	31
leisurely	253	H  	3.18	1.42	1.25	0.7	1.07	0.38	1.11	0.42	1.14	0.45	28
leprosy	254	   	1.21	0.77	1.93	1.03	3.03	1.38	2.76	1.55	3.14	1.64	29
lesbian	597	   	2.75	1.21	1.18	0.48	1.25	0.59	1.29	0.66	1.68	1.16	28
letter	846	   	2.5	1.29	1.18	0.48	1.14	0.45	1.25	0.65	1.14	0.36	28
liberty	255	H  	3.43	1.36	1.43	0.77	1.6	0.81	1.57	1.17	1.1	0.31	30
lice	256	*	1.1	0.4	2.3	1.26	2.23	1.36	3.07	1.36	3.83	1.39	30
lie	257	   	1.14	0.44	3.48	1.18	2.48	1.18	2.14	1.25	2.93	1.56	29
life	258	H  	4.38	0.94	1.62	0.82	1.66	0.77	1.79	0.82	1.34	0.67	29
lightbulb	566	   	2.24	1.38	1.24	0.51	1	0	1	0	1.03	0.19	29
lighthouse	847	   	2.13	1.15	1.16	0.52	1.48	0.96	1.29	0.74	1.16	0.52	31
lightning	598	   	2.13	1.36	1.7	0.99	1.37	0.67	2.57	1.25	1.17	0.38	30
limber	848	   	2.1	1.25	1.35	0.95	1.26	0.82	1.19	0.54	1.29	0.82	31
lion	518	   	2.32	1.44	1.5	1	1.07	0.38	2.64	1.22	1.04	0.19	28
listless	259	   	1.18	0.48	1.25	0.7	1.43	0.69	1.11	0.31	1.18	0.61	28
lively	849	H  	4.03	0.95	1.26	0.82	1.13	0.43	1.1	0.4	1.1	0.4	31
locker	850	   	1.79	1.15	1.28	0.65	1.31	0.71	1.34	0.86	1.45	1.06	29
loneliness	260	*	1.26	0.82	1.9	0.83	3.48	1.31	2.65	1.28	1.58	1.03	31
lonely	261	*	1.07	0.25	2.13	1.14	3.93	1.14	2.87	1.33	1.6	0.77	30
loser	851	   	1.04	0.19	2.36	1.39	2.75	1.32	2.32	1.39	1.93	1.41	28
